1_id,1_gene,1_chrom,1_start,1_end,1_strand,2_id,2_gene,2_chrom,2_start,2_end,2_strand
gene:ENSG00000156875,MFSD14A,1,100038095,100083377,+,gene:ENSG00000156876,SASS6,1,100083563,100132955,-
gene:ENSG00000187608,ISG15,1,1001138,1014540,+,gene:ENSG00000156876,SASS6,1,100083563,100132955,-
gene:ENSG00000122435,TRMT13,1,100133150,100150496,+,gene:ENSG00000122477,LRRC39,1,100148448,100178267,-
gene:ENSG00000162695,SLC30A7,1,100896076,100981757,+,gene:ENSG00000162694,EXTL2,1,100872372,100895179,-
gene:ENSG00000188157,AGRN,1,1020120,1056118,+,gene:ENSG00000118733,OLFM3,1,101802560,101996926,-
gene:ENSG00000142655,PEX14,1,10472288,10630758,+,gene:ENSG00000160049,DFFA,1,10456522,10472529,-
gene:ENSG00000198890,PRMT6,1,107056674,107067636,+,gene:ENSG00000237330,RNF223,1,1070967,1074306,-
gene:ENSG00000121957,GPSM2,1,108875350,108934545,+,gene:ENSG00000162641,AKNAD1,1,108815898,108963484,-
gene:ENSG00000121957,GPSM2,1,108875350,108934545,+,gene:ENSG00000121940,CLCC1,1,108881885,108963527,-
gene:ENSG00000116299,ELAPOR1,1,109113679,109206781,+,gene:ENSG00000179902,CFAP276,1,109105951,109113857,-
gene:ENSG00000116337,AMPD2,1,109616104,109632051,+,gene:ENSG00000134183,GNAT2,1,109603091,109619929,-
gene:ENSG00000134201,GSTM5,1,109711780,109775428,+,gene:ENSG00000134202,GSTM3,1,109733932,109741038,-
gene:ENSG00000143093,STRIP1,1,110031577,110074641,+,gene:ENSG00000156150,ALX3,1,110059870,110070672,-
gene:ENSG00000116396,KCNC4,1,110210314,110283100,+,gene:ENSG00000009724,MASP2,1,11022009,11047239,-
gene:ENSG00000134255,CEPT1,1,111139479,111185104,+,gene:ENSG00000156171,DRAM2,1,111117163,111140203,-
gene:ENSG00000134255,CEPT1,1,111139479,111185104,+,gene:ENSG00000162777,DENND2D,1,111185969,111204535,-
gene:ENSG00000064886,CHI3L2,1,111200771,111243440,+,gene:ENSG00000162777,DENND2D,1,111185969,111204535,-
gene:ENSG00000116459,ATP5PB,1,111448864,111462773,+,gene:ENSG00000116455,WDR77,1,111439890,111449256,-
gene:ENSG00000116473,RAP1A,1,111542218,111716691,+,gene:ENSG00000197852,INKA2,1,111680630,111755824,-
gene:ENSG00000064703,DDX20,1,111754832,111775602,+,gene:ENSG00000197852,INKA2,1,111680630,111755824,-
gene:ENSG00000064703,DDX20,1,111754832,111775602,+,gene:ENSG00000171385,KCND3,1,111770662,111989668,-
gene:ENSG00000171819,ANGPTL7,1,11189355,11195981,+,gene:ENSG00000171385,KCND3,1,111770662,111989668,-
gene:ENSG00000134245,WNT2B,1,112466541,112530165,+,gene:ENSG00000007341,ST7L,1,112523514,112620825,-
gene:ENSG00000116489,CAPZA1,1,112619805,112671616,+,gene:ENSG00000007341,ST7L,1,112523514,112620825,-
gene:ENSG00000155363,MOV10,1,112673141,112700756,+,gene:ENSG00000155366,RHOC,1,112701127,112707434,-
